Experiment,Accuracy,Weighted F1,Macro F1,Negative F1,Neutral F1,Positive F1
phobert_base,0.9346178142766899,0.9325230456589091,0.8370287688759243,0.9502103786816269,0.6101694915254238,0.9507064364207222
phobert_large,0.9355653821857233,0.9318271776522237,0.8263059722417969,0.9512195121951219,0.5756457564575646,0.9520526480727045
Ensemble: Weighted Transformer Ensemble,0.9254579911560329,0.9241671877725399,0.8169189369779377,0.9427439683111272,0.5623003194888179,0.945712523133868
Ensemble: Soft Voting All,0.9260897030953885,0.9230054398499622,0.8064531777832932,0.9442090395480226,0.5296167247386759,0.9455337690631809
Ensemble: Stacking V2,0.9137713202779533,0.9182000742682263,0.8012997176006259,0.9306930693069307,0.5247524752475248,0.9484536082474226
Ensemble: Majority Voting All,0.9115603284902085,0.9084992518040741,0.7822732606581803,0.9291121816930489,0.4827586206896552,0.9349489795918368
visobert,0.9118761844598863,0.9058433839943725,0.7665994247248301,0.9317073170731708,0.4357976653696498,0.9322932917316693
hybrid_v2,0.8875552747946936,0.9000378571607945,0.7787491080713217,0.9171230376049653,0.4912959381044487,0.9278283485045513
svm_baseline,0.8973468098547063,0.8930239134929366,0.7464704978074918,0.918100481761872,0.398576512455516,0.9227344992050874
hybrid_fusion,0.8916614024005054,0.8901651238382131,0.7467258415839253,0.9137268599371289,0.40634920634920635,0.9201014584654407
logistic_baseline,0.8704990524320909,0.876791335828149,0.7276398576648377,0.8959778085991679,0.37438423645320196,0.9125575279421433
